Ticker,最新价,公司主营,市值,1日涨幅,5日涨幅,20日涨幅,连涨天数,成交量倍数,20日平均成交额,距离52周高点,信号
BBNX,18.08,,,0.04327755356617513,0.29978433659506876,0.07236057349876046,5,1.0726274257761592,21399924.552111626,-0.43482338064818016,连续5天上涨 / 5日涨幅>20% / 20日新高
TWLO,249.42,,,0.011353511909800051,0.29099379973470874,0.2066763514824832,1,0.8897396295308452,516152787.3262024,-0.025512791002757274,5日涨幅>20%
DOCS,26.59,,,0.0640256260953993,0.2870280904633491,0.19720852087640828,1,0.5376321952199754,188944799.26215172,-0.6460330247552108,5日涨幅>20%
PAYC,223.63,,,0.058453266636073975,0.27934783168508437,0.5451531229490698,1,1.221331818798659,177082978.5734558,-0.03486946603693564,5日涨幅>20% / 20日新高
PUBM,17.28,,,0.005820743870394551,0.27905258281965994,0.2521739454936436,1,1.434118235000147,10206466.84237957,-0.028121483728375085,5日涨幅>20%
MDB,472.29,,,0.07870639981158178,0.2764594825538429,0.4372793663191259,1,1.49996398664359,506634225.0843811,0.0,5日涨幅>20% / 20日新高
NESR,35.9,,,0.031016709951758648,0.27531090630093824,0.24264459274243588,1,0.8740315638450502,62115470.642375946,0.0,5日涨幅>20% / 20日新高
OMDA,24.37,,,0.022231572284112433,0.2752485641487936,0.026970135244122062,1,0.8492927209512006,36315981.57681465,-0.0899925237348449,5日涨幅>20%
TXG,58.15,,,0.006926433348552585,0.27521937437958877,0.3073291844497912,1,0.8990669657929529,157040449.59531784,-0.007170875382169872,5日涨幅>20%
TRUP,31.0,,,0.022427450924145553,0.27101274193376845,0.21711821106119955,3,0.6561351054184912,13867979.938631058,-0.37361085171496033,5日涨幅>20% / 20日新高
CRSR,13.45,,,0.041021650916523766,0.2676720305830149,0.4369658442957487,2,0.9937891128081409,26013790.56734085,-0.06271780824248396,5日涨幅>20%
SITM,687.93,,,0.010888692370336628,0.2666261578665474,0.12337108852439793,1,0.6484957170383654,309776770.7495117,-0.2368882198381459,5日涨幅>20%
DXYZ,31.92,,,0.041095898080644844,0.2661642695558095,0.1756906270638794,6,1.9814555017750572,28067398.257312775,-0.5519370994741779,连续5天上涨 / 5日涨幅>20% / 20日新高
ONTO,337.82,,,0.0013932153911355716,0.2572385261520982,0.19960237525840396,3,0.7644759791357894,338499055.88287354,-0.107358973635297,5日涨幅>20% / 20日新高
LIFE,34.8,,,0.0360225983618947,0.25541125898567985,0.9016393818522546,11,1.1777938618414476,32400782.281999588,0.0,连续5天上涨 / 5日涨幅>20% / 20日新高
PSIX,41.07,,,-0.03432868860516802,0.2471909904103169,0.22743576863643833,0,0.8512068091651083,19135934.916830063,-0.6452755214386121,5日涨幅>20%
ZLAB,26.03,,,0.021184814451791434,0.24664759257058444,0.2544578644166511,1,1.075279597317528,21434479.845542908,-0.2714805200074094,5日涨幅>20% / 20日新高
GRRR,15.43,,,0.05396174476275495,0.24636511813736783,0.34407673523042526,6,0.94762846413462,12923808.859534264,-0.29155189078406474,连续5天上涨 / 5日涨幅>20% / 20日新高
CRWV,106.29,,,-0.0133667724546076,0.24563457910116382,0.45782465473616796,0,1.6256168710903063,2568539435.029602,-0.25712888205696327,5日涨幅>20%
STLN,6.26,,,-0.009493661574342727,0.2445327967730544,0.10600713739313283,0,0.5912261437908497,10030980.685396194,-0.02340087708283367,5日涨幅>20%
RBRK,105.09,,,0.08642605903887612,0.24219856067772105,0.31658728062742636,1,1.658122746402722,219702492.78896332,0.0,5日涨幅>20% / 20日新高
WIX,80.06,,,0.1645090553977273,0.23989465598543558,0.5040390427782864,3,2.9062443513529796,91379064.56529617,-0.5654581243400785,5日涨幅>20% / 放量大涨 / 20日新高
BTG,5.07,,,-0.026871375328317515,0.23960879768021637,0.38524591605594716,0,0.7645468682413912,105135812.18856215,-0.17633081556299368,5日涨幅>20%
AEHR,123.3,,,-0.04588712274109874,0.2362142138820562,0.46437063563732006,0,1.034374325669458,262053590.40542603,-0.04588712274109874,5日涨幅>20%
APPN,37.01,,,0.06289484910692034,0.23531373339441597,0.4611132425190405,1,0.7626866634413805,26018917.337141037,-0.18908854477488435,5日涨幅>20% / 20日新高
AMPL,13.3,,,0.07431341419947102,0.2349117572365016,0.37823841621669385,1,1.3675529426870765,21728910.658397675,0.0,5日涨幅>20% / 20日新高
VIA,26.36,,,0.052295465596378765,0.23408239031495537,0.4103798746456633,5,1.058004143485649,17394565.36348343,-0.5112182373226923,连续5天上涨 / 5日涨幅>20% / 20日新高
ESTC,86.03,,,0.1149558669803854,0.23393570385868778,0.382230020232482,5,2.3389943669038495,116271269.53147888,-0.0893405560743935,连续5天上涨 / 5日涨幅>20% / 放量大涨 / 20日新高
TIC,10.04,,,-0.014720277203841725,0.22738381262655416,0.4022346614269632,0,0.7816425589552314,19875934.21049595,-0.3071083422744415,5日涨幅>20%
ABNB,185.13,,,0.027957487037294726,0.22085205505118344,0.25257104912225325,1,0.9824718537233423,799292267.3523712,0.0,5日涨幅>20% / 20日新高
ATRO,92.61,,,0.0537035072645482,0.21791161882325327,0.4023319098497631,2,2.5889840567705353,43480970.07408142,0.0,5日涨幅>20% / 20日新高
RUM,7.54,,,-0.0013245335932716706,0.2161290635179416,0.3181818598633894,0,3.8907048256143284,16453217.50236988,-0.22666667057917667,5日涨幅>20%
GTLB,43.35,,,0.062239574010218846,0.2149663145555718,0.3651393361609705,1,1.5579320736507456,149793741.138525,-0.15066618933125453,5日涨幅>20% / 20日新高
PBF,74.36,,,0.057151044665259,0.21423903612494533,0.22021664401155427,6,0.6164454506573713,224013019.85277176,0.0,连续5天上涨 / 5日涨幅>20% / 20日新高
SNDK,1528.11,,,0.13674128420772758,0.2141540773792232,0.08293649753489896,4,1.3090253707408044,21612790309.089355,-0.34556317543830295,5日涨幅>20%
WDAY,206.45,,,0.17776259259275373,0.21269966098851034,0.4195833551920596,1,3.6636517344029644,701047409.6965408,-0.16649846617414377,5日涨幅>20% / 放量大涨 / 20日新高
ALOY,12.95,,,0.032695362732004574,0.21141256478896908,0.3227783309218719,1,0.8082714182998101,30954542.343423367,-0.4996135923799798,5日涨幅>20%
CELH,28.78,,,0.041998544973407936,0.2107698835674816,-0.04002664689504887,1,0.6669834292510727,339762085.7672024,-0.5562750475513831,5日涨幅>20%
AVAH,11.29,,,0.24751378164736537,0.21007503260176064,0.1760416159613285,1,5.27807913042566,18130986.486840248,0.0,5日涨幅>20% / 放量大涨 / 20日新高
